,name,car_name,car_type,is_test
197,00198_Acura Integra Type R 2001.jpg,Acura Integra Type R 2001,Small,0
198,00199_Volkswagen Golf Hatchback 1991.jpg,Volkswagen Golf Hatchback 1991,Small,0
199,00200_Audi V8 Sedan 1994.jpg,Audi V8 Sedan 1994,Midsize,0
201,00202_Dodge Dakota Crew Cab 2010.jpg,Dodge Dakota Crew Cab 2010,Large,0
202,00203_Toyota Corolla Sedan 2012.jpg,Toyota Corolla Sedan 2012,Midsize,0
204,00205_Audi S4 Sedan 2012.jpg,Audi S4 Sedan 2012,Midsize,0
208,00209_Chevrolet Sonic Sedan 2012.jpg,Chevrolet Sonic Sedan 2012,Midsize,1
209,00210_Porsche Panamera Sedan 2012.jpg,Porsche Panamera Sedan 2012,Small,0
210,00211_Rolls-Royce Ghost Sedan 2012.jpg,Rolls-Royce Ghost Sedan 2012,Midsize,1
212,00213_Volvo XC90 SUV 2007.jpg,Volvo XC90 SUV 2007,Large,0
213,00214_Ford F-150 Regular Cab 2007.jpg,Ford F-150 Regular Cab 2007,Large,0
216,00217_Audi 100 Wagon 1994.jpg,Audi 100 Wagon 1994,Midsize,0
218,00219_Audi 100 Wagon 1994.jpg,Audi 100 Wagon 1994,Midsize,0
222,00223_FIAT 500 Abarth 2012.jpg,FIAT 500 Abarth 2012,Small,0
223,00224_Dodge Sprinter Cargo Van 2009.jpg,Dodge Sprinter Cargo Van 2009,Large,0
224,00225_GMC Acadia SUV 2012.jpg,GMC Acadia SUV 2012,Large,0
225,00226_Ford Ranger SuperCab 2011.jpg,Ford Ranger SuperCab 2011,Large,0
226,00227_Chevrolet Impala Sedan 2007.jpg,Chevrolet Impala Sedan 2007,Midsize,0
229,00230_Suzuki SX4 Hatchback 2012.jpg,Suzuki SX4 Hatchback 2012,Small,0
230,00231_Ford F-450 Super Duty Crew Cab 2012.jpg,Ford F-450 Super Duty Crew Cab 2012,Large,0
231,00232_Dodge Caliber Wagon 2007.jpg,Dodge Caliber Wagon 2007,Small,0
232,00233_Volvo 240 Sedan 1993.jpg,Volvo 240 Sedan 1993,Midsize,0
233,00234_Hyundai Tucson SUV 2012.jpg,Hyundai Tucson SUV 2012,Large,0
234,00235_Ford Ranger SuperCab 2011.jpg,Ford Ranger SuperCab 2011,Large,0
235,00236_Acura ZDX Hatchback 2012.jpg,Acura ZDX Hatchback 2012,Midsize,0
236,00237_Chevrolet Avalanche Crew Cab 2012.jpg,Chevrolet Avalanche Crew Cab 2012,Large,0
237,00238_BMW ActiveHybrid 5 Sedan 2012.jpg,BMW ActiveHybrid 5 Sedan 2012,Midsize,0
238,00239_Audi V8 Sedan 1994.jpg,Audi V8 Sedan 1994,Midsize,0
239,00240_Hyundai Sonata Sedan 2012.jpg,Hyundai Sonata Sedan 2012,Midsize,0
240,00241_Nissan Juke Hatchback 2012.jpg,Nissan Juke Hatchback 2012,Large,0
242,00243_Nissan Leaf Hatchback 2012.jpg,Nissan Leaf Hatchback 2012,Small,0
243,00244_Acura ZDX Hatchback 2012.jpg,Acura ZDX Hatchback 2012,Midsize,0
244,00245_Chevrolet Impala Sedan 2007.jpg,Chevrolet Impala Sedan 2007,Midsize,0
245,00246_Mitsubishi Lancer Sedan 2012.jpg,Mitsubishi Lancer Sedan 2012,Midsize,0
246,00247_Hyundai Genesis Sedan 2012.jpg,Hyundai Genesis Sedan 2012,Midsize,1
247,00248_Rolls-Royce Phantom Sedan 2012.jpg,Rolls-Royce Phantom Sedan 2012,Midsize,0
249,00250_Volkswagen Golf Hatchback 2012.jpg,Volkswagen Golf Hatchback 2012,Small,1
250,00251_Mitsubishi Lancer Sedan 2012.jpg,Mitsubishi Lancer Sedan 2012,Midsize,0
251,00252_Fisker Karma Sedan 2012.jpg,Fisker Karma Sedan 2012,Midsize,0
252,00253_Buick Enclave SUV 2012.jpg,Buick Enclave SUV 2012,Large,0
254,00255_Acura Integra Type R 2001.jpg,Acura Integra Type R 2001,Small,0
257,00258_Cadillac CTS-V Sedan 2012.jpg,Cadillac CTS-V Sedan 2012,Midsize,0
258,00259_Toyota Camry Sedan 2012.jpg,Toyota Camry Sedan 2012,Midsize,0
259,00260_Hyundai Sonata Hybrid Sedan 2012.jpg,Hyundai Sonata Hybrid Sedan 2012,Midsize,0
260,00261_Audi V8 Sedan 1994.jpg,Audi V8 Sedan 1994,Midsize,0
262,00263_Bentley Arnage Sedan 2009.jpg,Bentley Arnage Sedan 2009,Midsize,0
263,00264_Chevrolet Silverado 2500HD Regular Cab 2012.jpg,Chevrolet Silverado 2500HD Regular Cab 2012,Large,0
265,00266_Audi 100 Sedan 1994.jpg,Audi 100 Sedan 1994,Midsize,0
267,00268_Chevrolet Silverado 1500 Extended Cab 2012.jpg,Chevrolet Silverado 1500 Extended Cab 2012,Large,0
268,00269_Tesla Model S Sedan 2012.jpg,Tesla Model S Sedan 2012,Midsize,0
269,00270_GMC Canyon Extended Cab 2012.jpg,GMC Canyon Extended Cab 2012,Large,0
272,00273_Chevrolet Silverado 2500HD Regular Cab 2012.jpg,Chevrolet Silverado 2500HD Regular Cab 2012,Large,1
273,00274_Audi S6 Sedan 2011.jpg,Audi S6 Sedan 2011,Midsize,0
274,00275_Hyundai Veloster Hatchback 2012.jpg,Hyundai Veloster Hatchback 2012,Small,0
275,00276_Hyundai Tucson SUV 2012.jpg,Hyundai Tucson SUV 2012,Large,1
276,00277_Porsche Panamera Sedan 2012.jpg,Porsche Panamera Sedan 2012,Small,0
277,00278_Lincoln Town Car Sedan 2011.jpg,Lincoln Town Car Sedan 2011,Midsize,0
278,00279_Buick Regal GS 2012.jpg,Buick Regal GS 2012,Midsize,0
281,00282_Chevrolet Impala Sedan 2007.jpg,Chevrolet Impala Sedan 2007,Midsize,0
282,00283_Fisker Karma Sedan 2012.jpg,Fisker Karma Sedan 2012,Midsize,0
283,00284_Dodge Durango SUV 2012.jpg,Dodge Durango SUV 2012,Large,1
284,00285_Volvo 240 Sedan 1993.jpg,Volvo 240 Sedan 1993,Midsize,0
285,00286_Volvo XC90 SUV 2007.jpg,Volvo XC90 SUV 2007,Large,1
286,00287_Dodge Dakota Club Cab 2007.jpg,Dodge Dakota Club Cab 2007,Large,0
287,00288_Toyota 4Runner SUV 2012.jpg,Toyota 4Runner SUV 2012,Large,0
289,00290_Hyundai Azera Sedan 2012.jpg,Hyundai Azera Sedan 2012,Midsize,0
290,00291_Infiniti QX56 SUV 2011.jpg,Infiniti QX56 SUV 2011,Large,0
293,00294_Buick Rainier SUV 2007.jpg,Buick Rainier SUV 2007,Large,0
294,00295_Buick Enclave SUV 2012.jpg,Buick Enclave SUV 2012,Large,0
295,00296_GMC Yukon Hybrid SUV 2012.jpg,GMC Yukon Hybrid SUV 2012,Large,1
296,00297_Dodge Ram Pickup 3500 Quad Cab 2009.jpg,Dodge Ram Pickup 3500 Quad Cab 2009,Large,0
297,00298_Rolls-Royce Phantom Sedan 2012.jpg,Rolls-Royce Phantom Sedan 2012,Midsize,0
298,00299_Jeep Liberty SUV 2012.jpg,Jeep Liberty SUV 2012,Large,0
299,00300_Nissan NV Passenger Van 2012.jpg,Nissan NV Passenger Van 2012,Large,0
301,00302_Audi TT Hatchback 2011.jpg,Audi TT Hatchback 2011,Small,0
305,00306_Dodge Caliber Wagon 2012.jpg,Dodge Caliber Wagon 2012,Small,0
306,00307_Chevrolet Traverse SUV 2012.jpg,Chevrolet Traverse SUV 2012,Midsize,0
307,00308_Acura Integra Type R 2001.jpg,Acura Integra Type R 2001,Small,1
308,00309_Honda Odyssey Minivan 2007.jpg,Honda Odyssey Minivan 2007,Large,0
309,00310_Hyundai Santa Fe SUV 2012.jpg,Hyundai Santa Fe SUV 2012,Large,0
311,00312_Chevrolet Malibu Sedan 2007.jpg,Chevrolet Malibu Sedan 2007,Midsize,0
312,00313_Audi S4 Sedan 2007.jpg,Audi S4 Sedan 2007,Midsize,0
313,00314_Dodge Ram Pickup 3500 Quad Cab 2009.jpg,Dodge Ram Pickup 3500 Quad Cab 2009,Large,0
314,00315_Nissan Juke Hatchback 2012.jpg,Nissan Juke Hatchback 2012,Large,0
316,00317_Maybach Landaulet Convertible 2012.jpg,Maybach Landaulet Convertible 2012,Midsize,0
318,00319_Buick Regal GS 2012.jpg,Buick Regal GS 2012,Midsize,0
319,00320_Acura ZDX Hatchback 2012.jpg,Acura ZDX Hatchback 2012,Midsize,0
320,00321_Dodge Durango SUV 2012.jpg,Dodge Durango SUV 2012,Large,0
321,00322_Chevrolet Silverado 1500 Regular Cab 2012.jpg,Chevrolet Silverado 1500 Regular Cab 2012,Large,0
322,00323_Suzuki Kizashi Sedan 2012.jpg,Suzuki Kizashi Sedan 2012,Midsize,0
325,00326_Volvo C30 Hatchback 2012.jpg,Volvo C30 Hatchback 2012,Small,0
327,00328_Chevrolet Tahoe Hybrid SUV 2012.jpg,Chevrolet Tahoe Hybrid SUV 2012,Large,0
328,00329_Ford F-150 Regular Cab 2007.jpg,Ford F-150 Regular Cab 2007,Large,0
329,00330_Mercedes-Benz Sprinter Van 2012.jpg,Mercedes-Benz Sprinter Van 2012,Large,1
330,00331_Suzuki Aerio Sedan 2007.jpg,Suzuki Aerio Sedan 2007,Midsize,0
331,00332_Ferrari FF Coupe 2012.jpg,Ferrari FF Coupe 2012,Small,0
334,00335_HUMMER H2 SUT Crew Cab 2009.jpg,HUMMER H2 SUT Crew Cab 2009,Large,0
337,00338_Ford F-450 Super Duty Crew Cab 2012.jpg,Ford F-450 Super Duty Crew Cab 2012,Large,0
340,00341_Chevrolet Malibu Hybrid Sedan 2010.jpg,Chevrolet Malibu Hybrid Sedan 2010,Midsize,0
341,00342_Nissan NV Passenger Van 2012.jpg,Nissan NV Passenger Van 2012,Large,0
342,00343_Jeep Liberty SUV 2012.jpg,Jeep Liberty SUV 2012,Large,0
343,00344_Jeep Patriot SUV 2012.jpg,Jeep Patriot SUV 2012,Large,0
345,00346_Chevrolet Sonic Sedan 2012.jpg,Chevrolet Sonic Sedan 2012,Midsize,0
346,00347_Jeep Patriot SUV 2012.jpg,Jeep Patriot SUV 2012,Large,0
348,00349_Dodge Journey SUV 2012.jpg,Dodge Journey SUV 2012,Midsize,0
351,00352_Isuzu Ascender SUV 2008.jpg,Isuzu Ascender SUV 2008,Large,0
352,00353_Ford Fiesta Sedan 2012.jpg,Ford Fiesta Sedan 2012,Midsize,0
354,00355_Nissan Juke Hatchback 2012.jpg,Nissan Juke Hatchback 2012,Large,0
355,00356_Ford Focus Sedan 2007.jpg,Ford Focus Sedan 2007,Midsize,0
357,00358_BMW 3 Series Sedan 2012.jpg,BMW 3 Series Sedan 2012,Midsize,0
358,00359_Chevrolet Traverse SUV 2012.jpg,Chevrolet Traverse SUV 2012,Midsize,0
359,00360_Chevrolet Silverado 1500 Classic Extended Cab 2007.jpg,Chevrolet Silverado 1500 Classic Extended Cab 2007,Large,0
360,00361_GMC Savana Van 2012.jpg,GMC Savana Van 2012,Large,0
361,00362_Buick Enclave SUV 2012.jpg,Buick Enclave SUV 2012,Large,0
363,00364_Cadillac Escalade EXT Crew Cab 2007.jpg,Cadillac Escalade EXT Crew Cab 2007,Large,0
364,00365_Cadillac Escalade EXT Crew Cab 2007.jpg,Cadillac Escalade EXT Crew Cab 2007,Large,1
365,00366_BMW X5 SUV 2007.jpg,BMW X5 SUV 2007,Large,0
366,00367_Rolls-Royce Phantom Sedan 2012.jpg,Rolls-Royce Phantom Sedan 2012,Midsize,0
370,00371_Dodge Caliber Wagon 2012.jpg,Dodge Caliber Wagon 2012,Small,0
371,00372_Nissan Leaf Hatchback 2012.jpg,Nissan Leaf Hatchback 2012,Small,0
372,00373_Plymouth Neon Coupe 1999.jpg,Plymouth Neon Coupe 1999,Midsize,0
373,00374_Acura Integra Type R 2001.jpg,Acura Integra Type R 2001,Small,0
374,00375_Rolls-Royce Ghost Sedan 2012.jpg,Rolls-Royce Ghost Sedan 2012,Midsize,0
375,00376_Hyundai Elantra Sedan 2007.jpg,Hyundai Elantra Sedan 2007,Midsize,0
376,00377_Hyundai Veracruz SUV 2012.jpg,Hyundai Veracruz SUV 2012,Large,0
377,00378_Lincoln Town Car Sedan 2011.jpg,Lincoln Town Car Sedan 2011,Midsize,0
378,00379_Chevrolet Silverado 1500 Hybrid Crew Cab 2012.jpg,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,Large,0
379,00380_FIAT 500 Abarth 2012.jpg,FIAT 500 Abarth 2012,Small,0
380,00381_HUMMER H2 SUT Crew Cab 2009.jpg,HUMMER H2 SUT Crew Cab 2009,Large,0
381,00382_Jeep Wrangler SUV 2012.jpg,Jeep Wrangler SUV 2012,Large,0
382,00383_Chevrolet Traverse SUV 2012.jpg,Chevrolet Traverse SUV 2012,Midsize,0
386,00387_Chevrolet Sonic Sedan 2012.jpg,Chevrolet Sonic Sedan 2012,Midsize,1
388,00389_Buick Rainier SUV 2007.jpg,Buick Rainier SUV 2007,Large,0
390,00391_Mercedes-Benz Sprinter Van 2012.jpg,Mercedes-Benz Sprinter Van 2012,Large,0
391,00392_Acura TL Type-S 2008.jpg,Acura TL Type-S 2008,Midsize,0
392,00393_Volvo XC90 SUV 2007.jpg,Volvo XC90 SUV 2007,Large,0
393,00394_Jeep Liberty SUV 2012.jpg,Jeep Liberty SUV 2012,Large,0
394,00395_Hyundai Santa Fe SUV 2012.jpg,Hyundai Santa Fe SUV 2012,Large,0
395,00396_Mercedes-Benz S-Class Sedan 2012.jpg,Mercedes-Benz S-Class Sedan 2012,Midsize,0
396,00397_Audi S4 Sedan 2012.jpg,Audi S4 Sedan 2012,Midsize,0
397,00398_Bentley Arnage Sedan 2009.jpg,Bentley Arnage Sedan 2009,Midsize,0
398,00399_BMW ActiveHybrid 5 Sedan 2012.jpg,BMW ActiveHybrid 5 Sedan 2012,Midsize,0
400,00401_Dodge Sprinter Cargo Van 2009.jpg,Dodge Sprinter Cargo Van 2009,Large,0
401,00402_Audi 100 Sedan 1994.jpg,Audi 100 Sedan 1994,Midsize,0
402,00403_Ford Edge SUV 2012.jpg,Ford Edge SUV 2012,Midsize,0
405,00406_Chevrolet Silverado 1500 Regular Cab 2012.jpg,Chevrolet Silverado 1500 Regular Cab 2012,Large,0
407,00408_Audi TT Hatchback 2011.jpg,Audi TT Hatchback 2011,Small,0
408,00409_Toyota 4Runner SUV 2012.jpg,Toyota 4Runner SUV 2012,Large,0
409,00410_Acura TSX Sedan 2012.jpg,Acura TSX Sedan 2012,Midsize,1
411,00412_Rolls-Royce Ghost Sedan 2012.jpg,Rolls-Royce Ghost Sedan 2012,Midsize,1
413,00414_Dodge Ram Pickup 3500 Crew Cab 2010.jpg,Dodge Ram Pickup 3500 Crew Cab 2010,Large,0
416,00417_Buick Enclave SUV 2012.jpg,Buick Enclave SUV 2012,Large,0
